0,1713125821.0169797,None
1,1713126979.1470203,None
2,1713128078.4585063,None
3,1713129536.6113806,None
4,1713130595.2101135,None
5,1713131682.0440843,None
6,1713133068.6234758,None
7,1713134218.064805,None
8,1713135290.5668492,None
9,1713136536.7354705,None
10,1713138114.1595304,None
11,1713139057.9299397,None
12,1713139705.2389834,None
13,1713140713.7414067,None
14,1713141717.6517527,None
15,1713143058.1609864,None
16,1713144090.7080681,None
17,1713144739.613023,None
18,1713145771.9949014,None
19,1713146799.6225133,None
